비트코인 고가변동률,이더리움 고가변동률,비트코인캐시 고가변동률,이오스 고가변동률,트론 고가변동률,라이트코인 고가변동률
14.7797326,10.5361754,8.122245562,11.29967931,7.413680782,8.309430682
0.020596,-0.6488934,-2.112647664,-1.287568913,5.072215757,1.836689533
1.1602469,-0.2508781,-0.293455539,1.147647143,2.332586159,-0.396737933
-0.0676678,0.9880922,1.460151725,-0.26193979,0.056069526,-0.456360525
1.3331575,4.2359901,1.44399851,1.845490425,-0.32832693,1.464826358
-0.9392063,-1.5956341,-1.600032571,-0.280602019,3.074596774,2.379432947
7.2575448,4.7302814,4.341546304,3.617414945,5.869797225,3.816577148
3.152053,5.2900046,5.494308506,3.211348844,3.023639362,2.38129845
-3.9986126,-6.314433,-6.208230003,-4.860956618,-3.288774115,-4.451079786
-0.4213871,-1.0572172,-2.878020901,-1.421835593,-1.694915254,-2.399186716
-0.2947902,-0.5232005,-1.006263892,-1.045283565,-0.968648329,-0.304054054
1.6324131,8.4231034,4.599061589,3.399528778,3.323401329,3.296652165
-0.2360434,0.1377094,-1.144958422,-1.597173665,-0.82588271,-1.299685412
3.322029,8.2081212,6.270260669,8.779023219,4.754345583,4.434052758
-0.5924715,-0.3156527,-1.43132277,-0.187797179,-1.454829879,-0.301248028
0.7297372,1.7123072,-2.040991339,0.228273929,0.740682373,-0.485367595
-3.3315639,-3.5811836,-4.539314805,-3.639100066,-3.826917248,-3.510181593
3.2807225,2.0945653,1.884982693,1.795254557,3.021313139,0.980619436
-4.9764203,-5.1322751,-7.352600263,-7.321513088,-5.118518519,-7.132553984
-0.9061146,-1.7898383,-5.550487173,-0.496304883,-2.223509814,-0.87919592
-0.4732224,-0.5911726,-2.100675217,-1.11763863,0.254138832,-0.823280423
-0.5940621,-0.881784,5.622429342,-1.126301622,-1.978647687,-0.745719987
1.4355828,2.6512497,2.43911867,2.104730218,1.782092147,5.755987026
6.4679072,17.8851714,7.922072504,15.57784744,8.147916014,9.82238704
-0.9944529,-0.3088326,-0.753529582,-0.341567043,4.794745484,-0.206948604
-0.9635228,-0.5120852,-0.091003102,0.717402249,0.131535679,-0.400116397
-2.1774542,-1.6452891,-2.331124758,-3.945194439,-2.218649518,-3.45102079
7.827301,9.0436438,10.25880886,8.537812186,7.08444521,8.326358771
2.2754142,1.0507622,0.339695168,1.298183429,-1.190779961,-0.336181184
-0.9640386,0.3117577,-1.078834505,-0.85657808,-0.347516528,-0.10857215
5.0760529,2.2620313,4.259438529,2.795087149,3.156422139,1.288969592
-1.8119637,-0.7084715,0.175479104,-0.961495461,-0.279012992,-0.736208779
-6.4487723,-5.894035,-7.080025746,-5.490278952,-5.002899031,-4.23038584
